trial,tank,treat,sound,water,Initial clams,check.no,Total clams left,Clams eaten,time (min)
1,1,sound,yes,absent,25,1,23,2,121
1,1,sound,yes,absent,25,2,20,5,242
1,1,sound,yes,absent,25,3,18,7,301
1,2,sound water,yes,present,25,1,24,1,115
1,2,sound water,yes,present,25,2,24,1,237
1,2,sound water,yes,present,25,3,22,3,295
1,3,silent,no,absent,25,1,20,5,111
1,3,silent,no,absent,25,2,16,9,234
1,3,silent,no,absent,25,3,16,9,291
1,4,water,no,present,25,1,15,10,108
1,4,water,no,present,25,2,11,14,230
1,4,water,no,present,25,3,10,15,288
1,5,water,no,present,25,1,22,3,122
1,5,water,no,present,25,2,22,3,226
1,5,water,no,present,25,3,22,3,283
1,6,sound water,yes,present,25,1,23,2,117
1,6,sound water,yes,present,25,2,23,2,221
1,6,sound water,yes,present,25,3,23,2,280
1,7,sound,yes,absent,25,1,24,1,112
1,7,sound,yes,absent,25,2,22,3,217
1,7,sound,yes,absent,25,3,22,3,275
1,8,silent,no,absent,25,1,11,14,108
1,8,silent,no,absent,25,2,7,18,212
1,8,silent,no,absent,25,3,7,18,271
1,9,silent,no,absent,25,1,19,6,120
1,9,silent,no,absent,25,2,15,10,210
1,9,silent,no,absent,25,3,11,14,267
1,10,sound water,yes,present,25,1,22,3,117
1,10,sound water,yes,present,25,2,21,4,206
1,10,sound water,yes,present,25,3,19,6,263
1,11,sound,yes,absent,25,1,25,0,113
1,11,sound,yes,absent,25,2,23,2,203
1,11,sound,yes,absent,25,3,23,2,259
1,12,water,no,present,25,1,24,1,108
1,12,water,no,present,25,2,23,2,199
1,12,water,no,present,25,3,23,2,256
1,13,sound water,yes,present,25,1,15,10,121
1,13,sound water,yes,present,25,2,14,11,195
1,13,sound water,yes,present,25,3,14,11,253
1,14,silent,no,absent,25,1,24,1,117
1,14,silent,no,absent,25,2,22,3,191
1,14,silent,no,absent,25,3,22,3,249
1,16,sound,yes,absent,25,1,24,1,109
1,16,sound,yes,absent,25,2,20,5,183
1,16,sound,yes,absent,25,3,19,6,241
1,17,water,no,present,25,1,24,1,121
1,17,water,no,present,25,2,23,2,281
1,17,water,no,present,25,3,23,2,241
1,18,sound,yes,absent,25,1,22,3,117
1,18,sound,yes,absent,25,2,22,3,177
1,18,sound,yes,absent,25,3,22,3,237
1,19,silent,no,absent,24,1,9,15,117
1,19,silent,no,absent,24,2,8,16,172
1,19,silent,no,absent,24,3,8,16,233
1,20,sound water,yes,present,24,1,18,6,115
1,20,sound water,yes,present,24,2,17,7,169
1,20,sound water,yes,present,24,3,17,7,229
2,1,sound,yes,absent,25,1,15,10,123
2,1,sound,yes,absent,25,2,13,12,182
2,1,sound,yes,absent,25,3,11,14,244
2,2,sound water,yes,present,25,1,21,4,118
2,2,sound water,yes,present,25,2,19,6,178
2,2,sound water,yes,present,25,3,19,6,240
2,3,silent,no,absent,25,1,7,18,114
2,3,silent,no,absent,25,2,3,22,174
2,3,silent,no,absent,25,3,1,24,236
2,4,water,no,present,25,1,22,3,110
2,4,water,no,present,25,2,18,7,170
2,4,water,no,present,25,3,14,11,232
2,5,water,no,present,25,1,24,1,120
2,5,water,no,present,25,2,22,3,182
2,5,water,no,present,25,3,20,5,243
2,6,sound water,yes,present,25,1,25,0,115
2,6,sound water,yes,present,25,2,23,2,178
2,6,sound water,yes,present,25,3,22,3,239
2,7,sound,yes,absent,25,1,15,10,111
2,7,sound,yes,absent,25,2,4,21,174
2,7,sound,yes,absent,25,3,4,21,234
2,8,silent,no,absent,25,1,23,2,108
2,8,silent,no,absent,25,2,16,9,170
2,8,silent,no,absent,25,3,15,10,230
2,9,silent,no,absent,25,1,20,5,121
2,9,silent,no,absent,25,2,16,9,181
2,9,silent,no,absent,25,3,16,9,242
2,10,sound water,yes,present,25,1,21,4,117
2,10,sound water,yes,present,25,2,17,8,176
2,10,sound water,yes,present,25,3,15,10,238
2,11,sound,yes,absent,25,1,23,2,113
2,11,sound,yes,absent,25,2,23,2,172
2,11,sound,yes,absent,25,3,23,2,234
2,12,water,no,present,25,1,16,9,110
2,12,water,no,present,25,2,12,13,168
2,12,water,no,present,25,3,10,15,230
2,13,sound water,yes,present,24,1,24,0,119
2,13,sound water,yes,present,24,2,23,1,181
2,13,sound water,yes,present,24,3,22,2,241
2,14,silent,no,absent,25,1,9,16,115
2,14,silent,no,absent,25,2,2,23,177
2,14,silent,no,absent,25,3,2,23,237
2,16,sound,yes,absent,25,1,25,0,106
2,16,sound,yes,absent,25,2,24,1,168
2,16,sound,yes,absent,25,3,24,1,228
2,17,water,no,present,25,1,13,12,119
2,17,water,no,present,25,2,9,16,179
2,17,water,no,present,25,3,9,16,235
2,18,sound,yes,absent,25,1,20,5,115
2,18,sound,yes,absent,25,2,16,9,175
2,18,sound,yes,absent,25,3,13,12,230
2,19,silent,no,absent,25,1,22,3,111
2,19,silent,no,absent,25,2,19,6,170
2,19,silent,no,absent,25,3,19,6,226
2,20,sound water,yes,present,25,1,2,23,106
2,20,sound water,yes,present,25,2,2,23,166
2,20,sound water,yes,present,25,3,2,23,221
